eps,sparse_accuracy,dense_accuracy
0.0,85.2,90.7
0.004,75.8,75.7
0.008,67.3,60.8
0.012,58.4,47.4
0.016,51.3,36.8
0.02,45.9,27.2
0.024,40.1,19.9
0.028,36.7,15.7
0.032,33.4,12.8
0.036000000000000004,29.6,10.4
0.04,27.0,8.6
0.044,25.0,6.2
0.048,23.1,5.5
0.052000000000000005,21.3,5.1
0.056,19.7,4.0
0.06,18.1,3.0
0.064,17.2,2.2
0.068,15.7,1.9
0.07200000000000001,14.5,1.9
0.076,13.3,1.8
0.08,12.8,1.6
0.084,11.8,1.5
0.088,10.8,1.6
0.092,10.6,1.6
0.096,9.9,1.6
0.1,9.4,1.6
